DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0154821	1	5	1	10	3	1	2	0	6306	28	0	47.9132 	0	0
DL	0.0155714	1	5	2	1	3	1	1	0	6306	28	0	52.3046	0	0
DL	0.015625	1	5	2	4	3	1	2	0	6306	28	0	47.9657	0	0
UL	0.0156786	1	5	2	7	3	1	1	0	6306	28	0	52.311 	0	0
UL	0.0157321	1	5	2	10	3	1	2	0	6306	28	0	47.9883 	0	0
DL	0.0158214	1	5	3	1	3	1	1	0	6306	28	0	52.3006	0	0
DL	0.015875	1	5	3	4	3	1	2	0	6306	28	0	48.0716	0	0
UL	0.0159286	1	5	3	7	3	1	1	0	6306	28	0	52.2273 	0	0
UL	0.0159821	1	5	3	10	3	1	2	0	6306	28	0	48.0556 	0	0
DL	0.0160714	1	6	0	1	3	1	1	0	6306	28	0	52.1654	0	0
DL	0.016125	1	6	0	4	3	1	2	0	6306	28	0	47.9899	0	0
UL	0.0161786	1	6	0	7	3	1	1	0	6306	28	0	52.1839 	0	0
UL	0.0162321	1	6	0	10	3	1	2	0	6306	28	0	47.9471 	0	0
DL	0.0163214	1	6	1	1	3	1	1	0	6306	28	0	52.1608	0	0
DL	0.016375	1	6	1	4	3	1	2	0	6306	28	0	47.9416	0	0
UL	0.0164286	1	6	1	7	3	1	1	0	6306	28	0	52.151 	0	0
UL	0.0164821	1	6	1	10	3	1	2	0	6306	28	0	47.9187 	0	0
DL	0.0165714	1	6	2	1	3	1	1	0	6306	28	0	52.1486	0	0
DL	0.016625	1	6	2	4	3	1	2	0	6306	28	0	47.8422	0	0
UL	0.0166786	1	6	2	7	3	1	1	0	6306	28	0	52.1255 	0	0
UL	0.0167321	1	6	2	10	3	1	2	0	6306	28	0	47.8094 	0	0
DL	0.0168214	1	6	3	1	3	1	1	0	6306	28	0	52.1415	0	0
DL	0.016875	1	6	3	4	3	1	2	0	6306	28	0	47.9296	0	0
UL	0.0169286	1	6	3	7	3	1	1	0	6306	28	0	52.1542 	0	0
UL	0.0169821	1	6	3	10	3	1	2	0	6306	28	0	47.9087 	0	0
DL	0.0170714	1	7	0	1	3	1	1	0	6306	28	0	52.209	0	0
DL	0.017125	1	7	0	4	3	1	2	0	6306	28	0	47.86	0	0
UL	0.0171786	1	7	0	7	3	1	1	0	6306	28	0	52.2941 	0	0
UL	0.0172321	1	7	0	10	3	1	2	0	6306	28	0	47.8944 	0	0
DL	0.0173214	1	7	1	1	3	1	1	0	6306	28	0	52.254	0	0
DL	0.017375	1	7	1	4	3	1	2	0	6306	28	0	47.9066	0	0
UL	0.0174286	1	7	1	7	3	1	1	0	6306	28	0	52.2919 	0	0
UL	0.0174821	1	7	1	10	3	1	2	0	6306	28	0	47.9144 	0	0
DL	0.0175714	1	7	2	1	3	1	1	0	6306	28	0	52.2202	0	0
DL	0.017625	1	7	2	4	3	1	2	0	6306	28	0	47.9537	0	0
UL	0.0176786	1	7	2	7	3	1	1	0	6306	28	0	52.2389 	0	0
UL	0.0177321	1	7	2	10	3	1	2	0	6306	28	0	47.9584 	0	0
DL	0.0178214	1	7	3	1	3	1	1	0	6306	28	0	52.2446	0	0
DL	0.017875	1	7	3	4	3	1	2	0	6306	28	0	47.9832	0	0
