DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.019375	1	9	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0194821	1	9	1	7	6	1	1	0	12761	28	0	nan 	1	0.00389299
DL	0.019625	1	9	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0197321	1	9	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.019875	1	9	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0199821	1	9	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.0200893	2	0	0	1	4	1	1	0	8507	28	0	nan	0	0.00269676
UL	0.0201964	2	0	0	5	6	1	1	0	12761	28	1	nan 	0	0
DL	0.020375	2	0	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0204821	2	0	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.020625	2	0	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0207321	2	0	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.020875	2	0	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0209821	2	0	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.021125	2	1	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0212321	2	1	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.021375	2	1	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0214821	2	1	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.021625	2	1	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0217321	2	1	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.021875	2	1	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0219821	2	1	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.022125	2	2	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0222321	2	2	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.022375	2	2	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0224821	2	2	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.022625	2	2	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0227321	2	2	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.022875	2	2	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0229821	2	2	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.023125	2	3	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0232321	2	3	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.023375	2	3	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0234821	2	3	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.023625	2	3	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0237321	2	3	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.023875	2	3	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0239821	2	3	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.024125	2	4	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0242321	2	4	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.024375	2	4	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0244821	2	4	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.024625	2	4	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0247321	2	4	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.024875	2	4	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0249821	2	4	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.025125	2	5	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0252321	2	5	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.025375	2	5	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0254821	2	5	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.025625	2	5	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0257321	2	5	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.025875	2	5	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0259821	2	5	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.026125	2	6	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0262321	2	6	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.026375	2	6	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0264821	2	6	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.026625	2	6	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0267321	2	6	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.026875	2	6	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0269821	2	6	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.027125	2	7	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0272321	2	7	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.027375	2	7	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0274821	2	7	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.027625	2	7	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0277321	2	7	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.027875	2	7	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0279821	2	7	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.028125	2	8	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0282321	2	8	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.028375	2	8	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0284821	2	8	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.028625	2	8	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0287321	2	8	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.028875	2	8	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0289821	2	8	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.029125	2	9	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0292321	2	9	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.029375	2	9	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0294821	2	9	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.029625	2	9	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0297321	2	9	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.029875	2	9	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0299821	2	9	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.030125	3	0	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0302321	3	0	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.030375	3	0	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0304821	3	0	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.030625	3	0	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0307321	3	0	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.030875	3	0	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0309821	3	0	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.031125	3	1	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0312321	3	1	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.031375	3	1	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0314821	3	1	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.031625	3	1	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0317321	3	1	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.031875	3	1	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0319821	3	1	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
